Data,Usuário,Ação,Descrição
"[2024-10-22 20:34:02] Usuário master fez login.
"
"[2024-10-22 20:49:47] Usuário 'Cleber Ribeiro' excluído por 'master'.
"
"[2024-10-22 21:05:46] Usuário master fez login.
"
"[2024-10-22 21:16:57] Usuário 'Cleber Ribeiro' excluído por 'master'.
"
"[2024-10-22 21:19:50] Usuário 'Cleber Ribeiro' excluído por 'master'.
"
