CÓDIGO|COD BARRAS|DESCRI|0
CA5484|7899800093809||6
CA5485|7899800093816||6
CA5486|7899800093823||12
CA5487|7899800093830||12
CA5488|7899800093847||12
CA5489|7899800093854||24
CA5490|7899800093861||48
CA5491|7899800093878||48
CA5492|7899800093885||24
CA5563|7899800094486||12
CA5587|7899800094714||12
CA5564|7899800094493||12
CA5565|7899800094509||12
CA5566|7899800094516||6
CA5567|7899800094523||6
CA5568|7899800094530||6
CA5569|7899800094547||6
CA5570|7899800094554||24
CA5571|7899800094561||6
CA5572|7899800094578||4
